card_id,name,set,pack,image_url,lowest_price,market_price,highest_price
1c954cdd-e629-4e3e-a91b-8baf04ad0c86,Weedle,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_001_std.jpg,,,
c7044320-6c98-4ea8-8dce-c824fc140870,Kakuna,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_002_std.jpg,,,
fceccae3-680e-4edc-9d5a-5fa4070cfa2e,Beedrill ex,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_003_std.jpg,,,
34f498cc-1309-4058-93e7-0afe5ea0797c,Carnivine,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_004_std.jpg,,,
080ad00e-ab15-4c32-92c2-f8e3160e99ef,Chespin,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_005_std.jpg,,,
e4cee5f1-a95c-4232-bb04-4a9ad30882cc,Quilladin,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_006_std.jpg,,,
d862a96a-52f5-49ec-a997-24354005fd43,Chesnaught,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_007_std.jpg,,,
c61ffcbe-1c49-4bd5-8a6c-244333d768fe,Vulpix,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_008_std.jpg,,,
41eb560b-4806-4b65-ba54-a3a5d97e9e9b,Ninetales,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_009_std.jpg,,,
388d6869-fa2e-47bd-adaf-0e77a1b3da65,Ho-Oh,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_010_std.jpg,,,
85632ac1-4a1c-4f9f-b288-61d4c926d5eb,Fennekin,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_011_std.jpg,,,
db9d2471-4751-4732-8094-4327296c4c0d,Braixen,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_012_std.jpg,,,
4cb20c38-e9bb-4f11-955f-82820d670b8b,Delphox,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_013_std.jpg,,,
562f8209-67af-4d9e-9da9-10362be1e7c5,Litleo,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_014_std.jpg,,,
85d07564-0ce7-4d6d-b1ea-ca989daa7823,Mega Pyroar ex,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_015_std.jpg,,,
e4a70d1f-f47c-4ecb-a86a-9aa5e1cdf2d5,Remoraid,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_016_std.jpg,,,
fe9a0f15-a9ec-4ec7-88de-02cbff360788,Octillery,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_017_std.jpg,,,
add03194-c806-453a-a262-8d51bf0f27d9,Delibird,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_018_std.jpg,,,
3c65e60d-3368-4bfa-a740-26584dabbf92,Keldeo,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_019_std.jpg,,,
6b69b47e-765b-46fd-afcc-80ac3625795a,Froakie,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_020_std.jpg,,,
56d89424-70ee-4604-b943-1ae5f9072448,Frogadier,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_021_std.jpg,,,
3e5a5e38-7e27-45ba-a94f-fa90da2938b8,Mega Greninja ex,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_022_std.jpg,,,
135775b9-cc08-4191-a4bc-773aae83184c,Bergmite,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_023_std.jpg,,,
22245a83-ca56-4f62-a29d-f03dfcddc7fb,Avalugg,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_024_std.jpg,,,
2995b188-176f-41c1-9b1b-4e3e4632c55f,Wimpod,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_025_std.jpg,,,
ca794a0d-72dd-428b-b8f9-6ac561d9d948,Golisopod,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_026_std.jpg,,,
af400c77-93f0-4f1a-a38e-11b673ed6c9b,Mareep,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_027_std.jpg,,,
4d24ac38-d811-400d-a44e-19fb93b524f5,Flaaffy,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_028_std.jpg,,,
0caabfe2-33dd-4a6b-a678-e28832da5d76,Ampharos,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_029_std.jpg,,,
a25d1c1d-3cfd-4a2a-bc98-d1b64b7d9d87,Emolga,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_030_std.jpg,,,
7765115c-2d45-422f-91e2-a68f47b5aeb2,Deoxys,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_031_std.jpg,,,
b46be7b7-9bf4-4d33-b649-9097f8a4d2e9,Deoxys,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_032_std.jpg,,,
43768ad8-6ec0-436c-b5ed-63c60c43b7a3,Deoxys,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_033_std.jpg,,,
baeb6568-aee3-4688-8906-e4ce3f75104c,Deoxys,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_034_std.jpg,,,
133f1838-b3b0-4239-899c-77ad464c4cfc,Mega Floette ex,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_035_std.jpg,,,
98a31529-6d97-48f2-bad6-28a18f6085f8,Espurr,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_036_std.jpg,,,
865fe70c-a98d-4c25-90b9-a4fa287fc09e,Meowstic,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_037_std.jpg,,,
a13a426e-1529-4ff8-9814-328a7e0fc6f8,Phantump,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_038_std.jpg,,,
c5547021-e24b-4cc7-8b23-23b5c5a98662,Trevenant,Mega Evolution,Chaos Rising (CRI),https://pkmncards.com/wp-content/uploads/me4_en_039_std.jpg,,,
